token;sentiment
abmachung; 0,0040
abschluß; 0,0040
abstimmung; 0,0040
agilität; 0,0040
aktivität; 0,0040
aktualisierung; 0,0040
aktualität; 0,0040
akzeptanz; 0,0040
andrang; 0,0040
anerkennung; 0,0855
angebot; 0,0711
angemessenheit; 0,0040
anhebung; 0,0040
anheiterung; 0,0040
ankurbelung; 0,0040
annehmlichkeit; 0,0040
annäherung; 0,0040
anpassung; 0,0040
anpassungsfähigkeit; 0,0040
anreicherung; 0,0040
anspruch; 0,0040
anstand; 0,0040
anstieg; 0,0040
anständigkeit; 0,0040
anteil; 0,0040
anziehung; 0,0040
applaus; 0,0871
attraktivität; 0,0040
aufbereitung; 0,0040
aufbesserung; 0,0040
auferstehung; 0,0040
aufmerksamkeit; 0,0040
aufmunterung; 0,0040
aufrichtigkeit; 0,0040
aufschwung; 0,0040
aufstieg; 0,0040
aufstockung; 0,0040
auftrag; 0,0040
auftrieb; 0,0040
aufwertung; 0,0040
aufwärtstrend; 0,0040
augenweide; 0,0844
ausbau; 0,0040
ausbildung; 0,0040
ausdauer; 0,0886
ausgleich; 0,0040
ausgleichszahlung; 0,0040
auszeichnung; 0,0040
authentizität; 0,0040
autonomie; 0,0040
bedeutung; 0,0040
befreiung; 0,0040
befriedigung; 0,0040
beförderung; 0,0040
begeisterung; 0,3200
begnadigung; 0,0040
begünstigung; 0,0040
beifall; 0,3265
beifallsruf; 0,0040
beilegung; 0,0040
beisteuerung; 0,0040
beitritt; 0,0040
bekräftigung; 0,0040
belastbarkeit; 0,0040
belebtheit; 0,0040
beliebtheit; 0,0040
belohnung; 0,0813
benefiz; 0,0040
bereicherung; 0,0040
bereitschaft; 0,0040
bereitstellung; 0,0040
beruhigung; 0,0040
bescheidenheit; 0,0852
beschleunigung; 0,0040
beschwichtigung; 0,0040
besitz; 0,0040
besserung; 0,0040
bestätigung; 0,0040
beteiligung; 0,0040
bewunderer; 0,0040
bewunderung; 0,0040
bildung; 0,0040
blüte; 0,0040
bonität; 0,0040
bonus; 0,0040
boom; 0,0040
brillanz; 0,0040
brüderlichkeit; 0,0040
bund; 0,0040
bündnis; 0,0040
champion; 0,0040
charisma; 0,0040
charme; 0,0040
cleverness; 0,0040
comeback; 0,0712
dankbarkeit; 0,0040
diskretion; 0,0040
disziplin; 0,0611
duft; 0,2149
dynamik; 0,0040
echtheit; 0,0040
effizienz; 0,0040
ehre; 0,0732
ehrfurcht; 0,0040
ehrlichkeit; 0,0040
ehrwürdigkeit; 0,0040
eifer; 0,0040
eigenkapital; 0,0040
eignung; 0,0040
eindeutigkeit; 0,0040
einfallsreichtum; 0,0040
einhaltung; 0,0040
einheit; 0,0040
einheitlichkeit; 0,0040
einkauf; 0,0040
einnahme; 0,0040
einsparung; 0,0040
einweihung; 0,0040
einzigartigkeit; 0,0040
eleganz; 0,0040
empathie; 0,0040
empfehlung; 0,0040
engagement; 0,2157
entlastung; 0,0040
entlohnung; 0,0040
entschluß; 0,0804
entschlüsselung; 0,0040
entschädigung; 0,0040
entspannung; 0,0875
entwirrung; 0,0040
erbe; 0,0040
erfahrung; 0,0040
erfolg; 0,3446
erfolgserlebnis; 0,0884
erfüllung; 0,0040
ergiebigkeit; 0,0040
ergänzung; 0,0040
erhaltung; 0,0040
erholung; 0,0865
erhöhung; 0,0040
erlaubnis; 0,0040
erleichterung; 0,0040
erleuchtung; 0,0040
erlösung; 0,0040
ermutigung; 0,0040
erneuerung; 0,0040
ernsthaftigkeit; 0,0040
ersparnis; 0,0040
ertrag; 0,0040
erweiterung; 0,0040
erzeugnis; 0,0040
experte; 0,0040
expertise; 0,0040
exzellenz; 0,0040
fairness; 0,0040
faszination; 0,0040
favorit; 0,0040
feier; 0,0829
fertigkeit; 0,0040
fest; 0,2346
festakt; 0,0040
festigkeit; 0,0040
festlichkeit; 0,0040
finanzierung; 0,0040
fitness; 0,0851
flair; 0,2216
fleiß; 0,3113
flexibilität; 0,0040
fortschritt; 0,0040
freiheit; 0,0040
freispruch; 0,0040
freude; 0,6502
freund; 0,0116
freundlichkeit; 0,0913
freundschaft; 0,2059
frieden; 0,0040
fruchtbarkeit; 0,0040
funktionsfähigkeit; 0,0040
furchtlosigkeit; 0,0040
fähigkeit; 0,0892
förderung; 0,0829
führung; 0,0040
fülle; 0,0040
gabe; 0,0747
garantie; 0,0040
gastfreundlichkeit; 0,0040
gedenken; 0,0040
geduld; 0,0789
gefallen; 0,3349
gehaltszulage; 0,0040
gelassenheit; 0,0721
geldgeber; 0,0040
gemeinschaft; 0,0040
genauigkeit; 0,0040
genehmigung; 0,0040
genesung; 0,0040
genialität; 0,0040
genie; 0,0697
genuss; 0,0701
genuß; 0,0730
gerechtigkeit; 0,0040
geräumigkeit; 0,0040
geschenk; 0,4792
geschick; 0,0040
geschicklichkeit; 0,0040
gesundheit; 0,0040
gesundung; 0,0040
gewinn; 0,0040
gewinner; 0,0040
gewährleistung; 0,0040
glamour; 0,0040
glanz; 0,0040
glaube; 0,0040
glaubwürdigkeit; 0,0040
gleichstellung; 0,0040
glück; 0,2452
glückseligkeit; 0,0040
glückwunsch; 0,2193
gnade; 0,0040
gratulation; 0,4280
grenzenlosigkeit; 0,0040
großzügigigkeit; 0,0040
größe; 0,0040
gründlichkeit; 0,0040
gunst; 0,0040
gönner; 0,0040
gönnerschaft; 0,0040
gültigkeit; 0,0040
güte; 0,0040
hammer; 0,0040
harmonie; 0,0795
harmonisierung; 0,0040
hartnäckigkeit; 0,0040
heiligtum; 0,0040
heilung; 0,0040
heirat; 0,0040
heiterkeit; 0,0040
helligkeit; 0,0040
herrlichkeit; 0,0040
highlight; 0,0040
hilfe; 0,0040
hilfsbereitschaft; 0,0040
hingabe; 0,0040
hochdruckgebiet; 0,0040
hochruf; 0,0040
hochwertigkeit; 0,0040
hoffnung; 0,2038
humanität; 0,0040
humor; 0,3296
hurra; 0,0040
hurrageschrei; 0,0040
höflichkeit; 0,0040
höhepunkt; 0,0040
individualität; 0,0040
innovation; 0,0040
inspiration; 0,0040
integrität; 0,0040
intellekt; 0,0040
intelligenz; 0,0040
interesse; 0,0040
interessenvertretung; 0,0040
investition; 0,0040
jubel; 0,0652
jubiläum; 0,0040
kauf; 0,0040
klarheit; 0,0040
komfort; 0,1808
kommunikation; 0,0040
kompatibilität; 0,0040
kompensation; 0,0040
kompetenz; 0,0040
kompliment; 0,3323
kompromiss; 0,0040
konjunkturaufschwung; 0,0040
konsens; 0,0040
konsistenz; 0,0040
konsolidierung; 0,0040
konstanz; 0,0040
konsultation; 0,0040
kontinuität; 0,0040
kooperation; 0,0040
koordinierung; 0,0040
korrektheit; 0,0040
korrektur; 0,0040
kostbarkeit; 0,0040
kraft; 0,0040
kreativität; 0,0768
kulanz; 0,0040
kur; 0,0859
langlebigkeit; 0,0040
laune; 0,1085
lebensfähigkeit; 0,0040
legalität; 0,0040
legitimität; 0,0040
leichtigkeit; 0,1725
leidenschaft; 0,0040
leistung; 0,0040
leistungsfähigkeit; 0,0040
liberalismus; 0,0040
liebe; 0,0985
liebling; 0,0873
linderung; 0,0040
lob; 0,7246
lohn; 0,0040
loyalität; 0,0040
luxus; 0,0040
lösung; 0,0040
macht; 0,0040
magie; 0,0040
majestät; 0,0040
maximum; 0,0040
meisterschaft; 0,0040
meisterwerk; 0,0040
menschenwürde; 0,0040
menschlichkeit; 0,0040
milde; 0,0040
mitgefühl; 0,0040
mobilität; 0,0040
modernisierung; 0,0040
modernität; 0,0040
moral; 0,0040
motivation; 0,0040
mut; 0,6093
möglichkeit; 0,0040
nachhaltigkeit; 0,0040
nutzen; 0,0040
nähe; 0,0911
oase; 0,0040
optimalität; 0,0040
optimismus; 0,0882
optimist; 0,0836
ordnungsmäßigkeit; 0,0040
originalität; 0,0040
pannenhilfe; 0,0040
paradies; 0,0040
partner; 0,0040
partnerschaft; 0,0779
perfektion; 0,0040
perfektionismus; 0,0040
perfektionist; 0,0040
pflege; 0,0040
phantasie; 0,0750
plausibilität; 0,0040
positivität; 0,0040
potenz; 0,0040
pracht; 0,0040
praktikabilität; 0,0040
premium; 0,0040
prestige; 0,0040
privileg; 0,0040
produktivität; 0,0040
profit; 0,0040
progression; 0,0040
prächtigkeit; 0,0040
präferenz; 0,0040
präzision; 0,0040
pünktlichkeit; 0,0040
qualifikation; 0,0040
qualität; 0,0040
qualitätsverbesserung; 0,0040
rat; 0,0040
recht; 0,0040
rechtmäßigkeit; 0,0040
rechtsgültigkeit; 0,0040
rehabilitation; 0,0040
reichtum; 0,0040
reinheit; 0,0040
reinigung; 0,0040
relevanz; 0,0040
renovierung; 0,0040
rentabilität; 0,0040
reparatur; 0,0040
respekt; 0,0040
rettung; 0,0707
robustheit; 0,0040
romantik; 0,0688
ruhe; 0,5017
ruhm; 0,0040
rückendeckung; 0,0040
rückgrat; 0,0040
rücksicht; 0,0040
rückversicherung; 0,0040
sauberkeit; 0,0755
schatz; 0,1096
schenkung; 0,0040
schirmherr; 0,0040
schirmherrschaft; 0,0040
schlauheit; 0,0040
schmuck; 0,0040
schnelligkeit; 0,0040
schnäppchen; 0,0040
schuldlosigkeit; 0,0040
schutz; 0,0040
schutzmaßnahme; 0,0040
schwung; 0,2380
schönheit; 0,3286
selbstständigkeit; 0,0040
sensation; 0,0040
seriösität; 0,0040
sicherheit; 0,0040
siegeszug; 0,0040
